experiment_index,simSeconds,simInsts,avg_big_l1i_missrate,avg_big_l1d_missrate,avg_big_l2_missrate,avg_little_l1i_missrate,avg_little_l1d_missrate,avg_little_l2_missrate,avg_l3_missrate
23,0.003,8865187,0.037171285714285705,0.32343912500000005,0.21127712499999998,0.0104275,0.29685275,0.9384633750000001,0.0020757500000000003
24,0.002078,8794823,0.041381,0.42049574999999995,0.0014491250000000001,0.012055166666666667,0.304545375,0.3881105,0.04603675
25,0.001802,8772033,0.036225571428571426,0.40731649999999997,0.0015061249999999999,0.011012333333333332,0.30413925,0.398476625,0.005868750000000001
26,0.001844,8354733,0.040208714285714285,0.354927375,0.002800875,0.013566166666666666,0.301308625,0.40209337500000003,0.00528775
27,0.002009,8716692,0.05760162499999999,0.26604162499999995,0.79576875,0.025205500000000002,0.26452225,0.559722125,0.14600500000000002
28,0.001569,8317500,0.058131749999999996,0.262731875,0.791471625,0.022743833333333335,0.266669375,0.5576519999999999,0.0574025
29,0.001379,8264175,0.05639000000000001,0.301787625,0.944306125,0.023050166666666667,0.272152125,0.573486375,0.0034955
30,0.001839,8710188,0.05622457142857142,0.25459899999999996,0.5755408750000001,0.019516500000000003,0.264359375,0.324231375,0.17289675000000002
31,0.001527,8308127,0.06885071428571429,0.260366,0.5555284999999999,0.02382466666666667,0.26805725,0.3177775,0.07000025
32,0.00134,8211499,0.064001,0.26455500000000004,0.58527775,0.0235905,0.27289675,0.333753,0.00424425
33,0.001573,7413428,0.07657828571428571,0.27062312499999996,0.002712375,0.023116,0.268145625,0.299151375,0.0943595
34,0.001324,7371778,0.07701314285714286,0.271695625,0.0027403749999999998,0.017958000000000002,0.268733375,0.2953568750000001,0.02273575
35,0.001309,7397226,0.07768642857142857,0.271689125,0.002747125,0.0297874,0.26954775,0.2952435,0.0132495
36,0.001992,8724103,0.04371175,0.27448075000000005,0.91233775,0.021403833333333334,0.22119799999999998,0.6517128749999999,0.14747325
37,0.001562,8341717,0.049682500000000004,0.27476775000000003,0.9200119999999999,0.018706666666666667,0.226283625,0.6504107499999999,0.059785000000000005
38,0.001375,8308307,0.05523171428571429,0.26723137499999994,0.9908115000000001,0.018795833333333335,0.232938375,0.7257752500000001,0.00326425
39,0.001837,8768360,0.04873114285714286,0.22946625,0.7133732500000001,0.022227999999999998,0.20873662499999998,0.463914125,0.16515675
40,0.001556,8335710,0.060528142857142864,0.235738,0.7130461250000001,0.021385333333333336,0.21486187499999998,0.46592475,0.057535499999999996
41,0.001352,8256266,0.05809957142857143,0.22579575000000002,0.71130675,0.02105833333333333,0.21740237499999998,0.532249625,0.00377
42,0.001539,7438505,0.06725485714285714,0.19206649999999997,0.002725875,0.0254716,0.209885,0.43094937499999997,0.09346549999999999
43,0.001218,7407647,0.06916842857142856,0.192024375,0.002756625,0.0226734,0.217236125,0.42773975000000003,0.010888249999999999
44,0.001218,7415774,0.06850285714285714,0.19262512499999998,0.0027348750000000003,0.024698199999999997,0.21945275000000003,0.42636787500000006,0.00698
45,0.001931,8720318,0.04046414285714285,0.196804,0.995735625,0.020851333333333333,0.11173387500000001,0.739703875,0.154768
46,0.001561,8351677,0.049271999999999996,0.19435712500000002,0.9961447499999999,0.016728166666666665,0.10911775,0.7392185,0.06688775
47,0.001304,8278431,0.04346071428571429,0.276218375,0.996166,0.015441166666666667,0.12770025,0.896698875,0.003019
48,0.001844,8749435,0.04430642857142857,0.187808375,0.7946745000000001,0.020806833333333333,0.108519,0.726484875,0.16604575
49,0.001558,8342892,0.04771628571428571,0.18629725000000003,0.7988664999999999,0.018082333333333336,0.10894662499999999,0.7314682499999999,0.062567
50,0.001314,8235709,0.047379142857142856,0.221217875,0.7809068749999999,0.018423000000000002,0.12567012500000002,0.853020375,0.0034599999999999995
51,0.001537,7481786,0.05456914285714286,0.191650625,0.0026042500000000002,0.016841,0.13323400000000002,0.6094873749999999,0.09638350000000001
52,0.001213,7431191,0.054814285714285704,0.19171975000000002,0.0026569999999999996,0.0184284,0.13245212500000003,0.6099426250000001,0.011356749999999999
53,0.001207,7565458,0.05383728571428571,0.19238075000000002,0.002526375,0.0192996,0.131679,0.61258625,0.006655250000000001
54,0.003074,8872055,0.05559528571428572,0.2989925,0.960643,0.025424000000000002,0.30881887500000005,0.86499275,0.11587525000000001
55,0.002357,8514668,0.062498714285714296,0.300022875,0.960326,0.01823725,0.308742,0.8650126250000001,0.029782
56,0.002167,8524850,0.05961842857142857,0.2993225,0.9598283750000001,0.0277968,0.30922125,0.865010375,0.005455
57,0.002889,8838005,0.06309171428571429,0.29601550000000004,0.345392125,0.024488499999999996,0.308790125,0.8630717499999999,0.135415
58,0.002325,8548603,0.06273157142857143,0.2975065,0.35669875,0.022815625,0.30859949999999997,0.8631183750000001,0.03800975
59,0.002145,8498764,0.05953114285714285,0.297042125,0.354966875,0.017748125,0.30838712500000004,0.863166,0.00792025
60,0.001837,7760008,0.07128085714285715,0.3035195,0.005541750000000001,0.019889875,0.330838875,0.243171625,0.1009035
61,0.001665,7738531,0.07099342857142857,0.30388424999999997,0.00556325,0.017736750000000003,0.331551,0.24354024999999999,0.05423275
62,0.001625,7744953,0.07065385714285714,0.30398862499999996,0.005574875,0.0275686,0.331617375,0.24363350000000003,0.0372575
63,0.003064,8860009,0.055145999999999994,0.28084300000000006,0.9969187500000001,0.015978625,0.26760887499999997,0.9977265000000001,0.11533925
64,0.002346,8570719,0.05271471428571429,0.280841375,0.996536125,0.024687,0.2679885,0.997724125,0.0308475
65,0.002152,8507424,0.05218814285714285,0.27985424999999997,0.9969117500000001,0.01437625,0.267970375,0.99771825,0.0054719999999999994
66,0.002864,8876034,0.055705142857142856,0.27477587500000006,0.35376175,0.025280833333333336,0.26754975,0.9954928749999999,0.13698649999999998
67,0.002304,8554576,0.05818885714285714,0.27515274999999995,0.365672,0.016088375,0.26775275000000004,0.99550325,0.039229
