experiment_index,simSeconds,simInsts,avg_big_l1i_missrate,avg_big_l1d_missrate,avg_big_l2_missrate,avg_little_l1i_missrate,avg_little_l1d_missrate,avg_little_l2_missrate,avg_l3_missrate,replacement_policy,prefetcher_type,l1_cache_sample_seed,l2_cache_sample_seed,l3_cache_sample_seed,big_core_width,big_core_rob_size,big_core_num_int_regs,big_core_num_fp_regs,small_core_width,small_core_rob_size,small_core_num_int_regs,small_core_num_fp_regs,big_core_num,small_core_num,matsize
40,0.001556,8335710,0.0605281428571428,0.235738,0.7130461250000001,0.0213853333333333,0.2148618749999999,0.46592475,0.0575354999999999,LRURP,Stride,2,2,2,10,40,50,50,2,30,40,40,2,2,64
41,0.001352,8256266,0.0580995714285714,0.22579575,0.71130675,0.0210583333333333,0.2174023749999999,0.532249625,0.00377,LRURP,Stride,2,2,4,10,40,50,50,2,30,40,40,2,2,64
42,0.001539,7438505,0.0672548571428571,0.1920664999999999,0.002725875,0.0254716,0.209885,0.4309493749999999,0.0934654999999999,LRURP,Stride,2,4,1,10,40,50,50,2,30,40,40,2,2,64
43,0.001218,7407647,0.0691684285714285,0.192024375,0.002756625,0.0226734,0.217236125,0.42773975,0.0108882499999999,LRURP,Stride,2,4,2,10,40,50,50,2,30,40,40,2,2,64
44,0.001218,7415774,0.0685028571428571,0.1926251249999999,0.002734875,0.0246981999999999,0.21945275,0.426367875,0.00698,LRURP,Stride,2,4,4,10,40,50,50,2,30,40,40,2,2,64
45,0.001931,8720318,0.0404641428571428,0.196804,0.995735625,0.0208513333333333,0.111733875,0.739703875,0.154768,LRURP,Stride,4,1,1,10,40,50,50,2,30,40,40,2,2,64
46,0.001561,8351677,0.0492719999999999,0.194357125,0.99614475,0.0167281666666666,0.10911775,0.7392185,0.06688775,LRURP,Stride,4,1,2,10,40,50,50,2,30,40,40,2,2,64
47,0.001304,8278431,0.0434607142857142,0.276218375,0.996166,0.0154411666666666,0.12770025,0.896698875,0.003019,LRURP,Stride,4,1,4,10,40,50,50,2,30,40,40,2,2,64
48,0.001844,8749435,0.0443064285714285,0.187808375,0.7946745000000001,0.0208068333333333,0.108519,0.726484875,0.16604575,LRURP,Stride,4,2,1,10,40,50,50,2,30,40,40,2,2,64
49,0.001558,8342892,0.0477162857142857,0.18629725,0.7988664999999999,0.0180823333333333,0.1089466249999999,0.7314682499999999,0.062567,LRURP,Stride,4,2,2,10,40,50,50,2,30,40,40,2,2,64
50,0.001314,8235709,0.0473791428571428,0.221217875,0.7809068749999999,0.018423,0.125670125,0.853020375,0.0034599999999999,LRURP,Stride,4,2,4,10,40,50,50,2,30,40,40,2,2,64
51,0.001537,7481786,0.0545691428571428,0.191650625,0.00260425,0.016841,0.133234,0.6094873749999999,0.0963835,LRURP,Stride,4,4,1,10,40,50,50,2,30,40,40,2,2,64
52,0.001213,7431191,0.0548142857142857,0.19171975,0.0026569999999999,0.0184284,0.132452125,0.6099426250000001,0.0113567499999999,LRURP,Stride,4,4,2,10,40,50,50,2,30,40,40,2,2,64
53,0.001207,7565458,0.0538372857142857,0.19238075,0.002526375,0.0192996,0.131679,0.61258625,0.00665525,LRURP,Stride,4,4,4,10,40,50,50,2,30,40,40,2,2,64
54,0.003074,8872055,0.0555952857142857,0.2989925,0.960643,0.025424,0.308818875,0.86499275,0.11587525,LRURP,ISB,1,1,1,10,40,50,50,2,30,40,40,2,2,64
55,0.002357,8514668,0.0624987142857142,0.300022875,0.960326,0.01823725,0.308742,0.8650126250000001,0.029782,LRURP,ISB,1,1,2,10,40,50,50,2,30,40,40,2,2,64
56,0.002167,8524850,0.0596184285714285,0.2993225,0.959828375,0.0277968,0.30922125,0.865010375,0.005455,LRURP,ISB,1,1,4,10,40,50,50,2,30,40,40,2,2,64
57,0.002889,8838005,0.0630917142857142,0.2960155,0.345392125,0.0244884999999999,0.308790125,0.8630717499999999,0.135415,LRURP,ISB,1,2,1,10,40,50,50,2,30,40,40,2,2,64
58,0.002325,8548603,0.0627315714285714,0.2975065,0.35669875,0.022815625,0.3085994999999999,0.8631183750000001,0.03800975,LRURP,ISB,1,2,2,10,40,50,50,2,30,40,40,2,2,64
59,0.002145,8498764,0.0595311428571428,0.297042125,0.354966875,0.017748125,0.308387125,0.863166,0.00792025,LRURP,ISB,1,2,4,10,40,50,50,2,30,40,40,2,2,64
60,0.001837,7760008,0.0712808571428571,0.3035195,0.00554175,0.019889875,0.330838875,0.243171625,0.1009035,LRURP,ISB,1,4,1,10,40,50,50,2,30,40,40,2,2,64
61,0.001665,7738531,0.0709934285714285,0.3038842499999999,0.00556325,0.01773675,0.331551,0.2435402499999999,0.05423275,LRURP,ISB,1,4,2,10,40,50,50,2,30,40,40,2,2,64
